PParent,Parent,Device ID,ObjectName,x,y,z,stripSize,rendererID,lightList,lightRing,lightRingID,SpeakerID
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 4,180.24,10.90009,298.1972,16,177,119,0,19,
Group 10,Inner_Section,hb-b827eb76224b,2_1 Speaker 1,185.481,31.90009,311.3445,16,178,,,,58
Group 10,Inner_Section,hb-b827eb76224b,2_1 Speaker 2,178.3216,58.6001,330.0192,16,179,,,,59
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 1,101.01,175.325,396.57,16,180,120,5,20,
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 2,104.9649,147.325,390.6701,16,181,121,4,20,
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 3,114.9893,65.72504,374.7657,16,182,122,3,20,
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 LED 4,127.9185,93.02502,353.1269,16,183,123,2,20,
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 Speaker 1,123.0314,106.525,361.6308,16,184,,,,60
Group 11,Outer_Section_1,hb-b827ebc7bb68,2_1 Speaker 2,110.115,170.425,382.6866,16,185,,,,61
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 1,68.48337,192.225,371.9879,16,186,124,5,21,
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 2,73.48541,85.72504,366.9451,16,187,125,4,21,
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 3,86.34384,124.325,353.2301,16,188,126,3,21,
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 LED 4,103.1419,37.52505,334.4359,16,189,127,2,21,
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 Speaker 1,96.45734,85.72504,342.1505,16,190,,,,62
Group 11,Outer_Section_2,hb-b827eb62603d,2_1 Speaker 2,80.05595,151.8251,360.0831,16,191,,,,63
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 1,124.6948,77,311.0191,16,192,128,1,20,
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 2,166.3246,27.90002,291.1067,16,193,129,0,20,
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 3,144.4901,34.60004,326.1054,16,194,130,1,21,
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 LED 4,152.1356,0.0000305,280.5558,16,195,131,0,21,
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 Speaker 1,152.2734,21.20004,294.7086,16,196,,,,64
Group 11,Inner_Section,hb-b827eb4a7fdf,2_1 Speaker 2,138.8514,40.70004,309.5359,16,197,,,,65
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 1,42.71893,149.2251,343.664,16,198,132,5,22,
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 2,48.53809,98.7251,339.5913,16,199,133,4,22,
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 3,63.63089,106.9251,328.382,16,200,134,3,22,
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 LED 4,83.50388,50.82507,312.8752,16,201,135,2,22,
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 Speaker 1,75.87488,115.6251,319.0394,16,202,,,,66
Group 12,Outer_Section_1,hb-b827ebd97be3,2_1 Speaker 2,56.22443,190.1251,334.0073,16,203,,,,67
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 1,21.26898,170.5251,308.9918,16,204,136,5,23,
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 2,27.75488,139.5251,306.0966,16,205,137,4,23,
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 3,44.69946,105.6251,297.9528,16,206,138,3,23,
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 LED 4,67.15248,54.2251,286.4959,16,207,139,2,23,
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 Speaker 1,58.13242,85.7251,291.2748,16,208,,,,68
Group 12,Outer_Section_2,hb-b827eb72954d,2_1 Speaker 2,36.36063,147.5251,302.0715,16,209,,,,69
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 1,95.70912,69.80005,272.4463,16,210,140,1,22,
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 2,141.7209,49.80002,268.9171,16,211,141,0,22,
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 3,108.7178,15.00006,293.6648,16,212,142,1,23,
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 LED 4,132.3015,10.90002,253.953,16,213,143,0,23,
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 Speaker 1,127.3174,31.90002,267.1998,16,214,,,,70
Group 12,Inner_Section,hb-b827eb38ff1d,2_1 Speaker 2,109.4455,58.60004,276.1774,16,215,,,,71
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 1,7.476563,175.3251,273.2745,16,216,144,5,24,
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 2,14.37402,147.3251,271.5789,16,217,145,4,24,
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 3,32.49689,65.72507,266.5787,16,218,146,3,24,
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 LED 4,56.62964,93.02509,259.2978,16,219,147,2,24,
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 Speaker 1,47.289,106.5251,262.2899,16,220,,,,72
Group 13,Outer_Section_1,hb-b827eb2132dc,2_1 Speaker 2,23.55844,170.425,269.1486,16,221,,,,73
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 1,0,192.2251,233.1951,16,222,148,5,25,
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 2,7.093811,85.7251,232.8383,16,223,149,4,25,
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 3,25.83603,124.3251,231.3654,16,224,150,3,25,
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 LED 4,50.91159,37.52509,228.7931,16,225,151,2,25,
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 Speaker 1,40.77429,85.7251,229.9909,16,226,,,,74
Group 13,Outer_Section_2,hb-b827eb496f53,2_1 Speaker 2,16.57245,151.8251,232.1937,16,227,,,,75
Group 13,Inner_Section,hb-b827eb9b441c,2_1 LED 1,82.61516,77.00006,226.0079,16,228,152,1,24,
